random order num,Species,Stem,ID,unique,Diameter.wbark (mm),Fresh mass (g),Diameter.nobark (mm),Volume (g),Dry mass wood (g),Dry mass bark (g),Dry mass total (g),Notes
24,cota,6,c,cota6c,10.05,5.14,,,,,,
25,cota,1,c,cota1c,9.53,5.24,,,,,,
26,cota,5,c,cota5c,9.45,5.6,,,,,,
27,cota,6,d,cota6d,9.12,6.09,,,,,,
28,cota,1,h,cota1h,12.35,8.74,,,,,,
29,cota,2,g,cota2g,12.99,9.25,,,,,,
30,cota,5,a,cota5a,11.7,8.72,,,,,,
31,cota,2,b,cota2b,11.41,8.44,,,,,5.88,
32,cota,1,i,cota1i,9.21,5.08,,,,,3.8,
33,cota,3,c,cota3c,9.75,5.21,,,,,3.73,
34,cota,4,b,cota4b,12.74,9.02,10.55,7.24,4.84,1.55,,
35,cota,1,j,cota1j,10.34,5.97,9.17,5.54,3.83,0.6,,
36,cota,4,c,cota4c,11.53,8.79,10.02,7.44,5,1.11,,
1,eusc,2,d,eusc2d,10.71,8.93,,,,,,
2,eusc,3,j,eusc3j,13.14,13.32,,,,,,
3,eusc,3,i,eusc3i,12.56,12.71,,,,,,
4,eusc,3,c,eusc3c,10.96,8.01,,,,,,
5,eusc,1,f,eusc1f,13.26,11.57,,,,,,
6,eusc,1,k,eusc1k,12.42,10.26,,,,,,
7,eusc,1,g,eusc1g,12.98,13.61,,,,,,
8,eusc,2,f,eusc2f,12.18,10.41,,,,,,
9,eusc,3,k,eusc3k,15.85,14.56,,,,,,
10,eusc,2,l,eusc2l,13.96,13.76,,,,,,
11,eusc,3,a,eusc3a,11.47,8.37,,,,,,
12,eusc,2,i,eusc2i,10.67,8.22,,,,,,
13,eusc,2,e,eusc2e,11.21,9.19,,,,,,
14,eusc,3,b,eusc3b,8.97,6.63,,,,,,
15,eusc,1,h,eusc1h,15.81,14.26,,,,,,
16,eusc,3,e,eusc3e,11.76,9.79,,,,,,
17,eusc,1,a,eusc1a,12.2,10.34,,,,,,
18,eusc,2,g,eusc2g,10.28,8.41,,,,,,
19,eusc,1,i,eusc1i,14.55,17.36,,,,,,
20,eusc,3,d,eusc3d,10.48,8.63,,,,,,
21,eusc,3,l,eusc3l,16.42,16.54,,,,,,
22,eusc,2,h,eusc2h,10.89,9.1,,,,,,
23,eusc,2,a,eusc2a,10.04,7.23,,,,,,
24,eusc,2,k,eusc2k,10.72,9.44,,,,,,
25,eusc,2,b,eusc2b,9.95,7.94,,,,,,
26,eusc,2,j,eusc2j,10.57,7.91,,,,,,
27,eusc,1,d,eusc1d,11.94,11.77,,,,,,
28,eusc,3,g,eusc3g,12.88,10.76,,,,,,
29,eusc,3,h,eusc3h,12.22,11.72,,,,,,
30,eusc,1,b,eusc1b,11.89,9.31,,,,,,
31,eusc,3,f,eusc3f,11.94,11.98,10.54,8.6,4.78,1.55,,
32,eusc,1,e,eusc1e,13.04,13.59,11.37,9.8,5.54,1.66,,
33,eusc,2,c,eusc2c,10.98,8.66,,,,,5.18,
34,eusc,1,c,eusc1c,12.98,10.74,,,,,5.78,
35,eusc,1,l,eusc1l,11.84,10.82,10.35,7.65,4.58,1.35,,
36,eusc,1,j,eusc1j,10.52,7.9,,,,,4.37,
1,eute,2,c,eute2c,12.81,9.87,,,,,,
2,eute,1,b,eute1b,17.85,24.15,,,,,,
