SamplingDate,SampleType,StemSize,StemCode,Site,Age,Treatment,Plot,Tree,Harvest,SampleCode,TubeID,ExtractionDate,mgSample,NextGenID,NucleicAcidConc,260/280,260/230,VolWater ,VolDNA,PlateNumber,WellNumber ,SubmittedNucleicAcidConc,Chemistry,Pos,Na        ,Mg        ,Al       ,P         ,K       ,Ca      ,Mn      ,Fe      ,Cu    ,Zn      ,Ag      ,S         ,Cl        ,Si      
August2013,woodshaving,small,haseB,NA,NA,NA,NA,NA,NA,haseB,35,31/08/16_PM,202.00,JPR-RP13-S-35,13.2,2.07,1.89,7.3,22.7,1,H9,10,yes,7,550.017,772.084,135.514,38.767,631.109,1459.885,118.342,533.606,1.999,13.504,440.356,-46.678,970.065,0.065
August2013,woodshaving,small,acelB,NA,NA,NA,NA,NA,NA,acelB,36,31/08/16_PM,149.00,JPR-RP13-S-36,2.7,2.22,0.84,0.0,30.0,1,A10,2.7,no,,,,,,,,,,,,,,,
August2013,woodshaving,small,penuB,NA,NA,NA,NA,NA,NA,penuB,37,31/08/16_PM,187.00,JPR-RP13-S-37,14,2.13,1.33,8.6,21.4,1,B10,10,no,,,,,,,,,,,,,,,
August2013,woodshaving,small,leerE,NA,NA,NA,NA,NA,NA,leerE,38,31/08/16_PM,172.00,JPR-RP13-S-38,11.7,2.02,1.69,4.4,25.6,1,C10,10,no,,,,,,,,,,,,,,,
August2013,woodshaving,small,caliB,NA,NA,NA,NA,NA,NA,caliB,39,31/08/16_PM,156.00,JPR-RP13-S-39,9,2.01,1.08,0.0,30.0,1,D10,9,no,,,,,,,,,,,,,,,
August2013,woodshaving,small,acelA,NA,NA,NA,NA,NA,NA,acelA,40,31/08/16_PM,172.00,JPR-RP13-S-40,3,2.03,0.73,0.0,30.0,1,E10,3,yes,1,1521.783,421.126,163.638,-27.946,596.441,2365.661,37.746,2065.711,3.175,7.815,458.826,-141.834,674.78,0.025
August2013,woodshaving,small,eute2,NA,NA,NA,NA,NA,NA,eute2,41,31/08/16_PM,138.00,JPR-RP13-S-41,5.4,1.92,1.21,0.0,30.0,1,F10,5.4,yes,5,-524.013,1247.377,92.871,74.431,2189.849,3310.764,121.112,449.02,6.385,15.555,589.464,-578.868,467.526,0.021
August2013,woodshaving,small,alli1,NA,NA,NA,NA,NA,NA,alli1,42,31/08/16_PM,150.00,JPR-RP13-S-42,25.7,1.94,1.36,18.3,11.7,1,G10,10,yes,1,-1287.71,1647.93,53.672,147.796,4379.471,5803.171,87.308,1421.3,4.882,9.356,397.391,-313.516,430.14,0.038
August2013,woodshaving,small,excu3,NA,NA,NA,NA,NA,NA,excu3,43,31/08/16_PM,129.00,JPR-RP13-S-43,17.3,1.93,2.05,12.7,17.3,1,H10,10,yes,1,-917.687,888.785,149.513,182.509,3244.51,3245.551,100.571,1084.505,3.295,18.833,375.326,-463.048,2887.898,-0.002
August2013,woodshaving,small,lepa4,NA,NA,NA,NA,NA,NA,lepa4,44,31/08/16_PM,160.00,JPR-RP13-S-44,10.6,1.98,1,1.7,28.3,1,A11,10,yes,2,247.983,1089.77,130.585,147.198,748.14,2870.988,246.435,14424.7,9.237,9.744,612.631,756.394,1063.473,0.095
